Date,SKU,Product_Category,Brand,Region,Sales_Amount,Units_Sold,Promotion_Applied,Holiday_Season,Sub_Category
2025-05-01 07:28:16.171792,SKU_7,Electronics,Brand_C,APAC,1184.37,18,No,No,Laptops
2025-05-01 07:28:16.172036,SKU_1,Electronics,Brand_D,EU,1542.0,20,No,No,Smartphones
2025-05-01 07:28:16.172290,SKU_18,Furniture,Brand_A,NA,1514.2,16,No,No,Sofas
2025-05-01 07:28:16.172629,SKU_3,Electronics,Brand_D,NA,1515.52,14,No,No,Cameras
2025-05-01 07:28:16.172850,SKU_20,Furniture,Brand_A,APAC,1639.34,21,Yes,Yes,Sofas
2025-05-01 07:28:16.173099,SKU_5,Electronics,Brand_B,APAC,1737.61,19,No,No,Smartphones
2025-05-01 07:28:16.173342,SKU_20,Furniture,Brand_B,APAC,782.97,20,No,No,Tables
2025-05-01 07:28:16.173550,SKU_15,Electronics,Brand_B,APAC,1250.73,13,No,No,Cameras
2025-05-01 07:28:16.173753,SKU_10,Furniture,Brand_A,EU,1303.34,19,Yes,No,Tables
2025-05-01 07:28:16.173963,SKU_19,Furniture,Brand_B,NA,1452.5,25,No,Yes,Sofas
2025-05-01 07:28:16.174297,SKU_1,Furniture,Brand_A,EU,1478.92,18,No,No,Sofas
2025-05-01 07:28:16.174523,SKU_7,Furniture,Brand_D,NA,1690.25,14,No,No,Tables
2025-05-01 07:28:16.174736,SKU_18,Electronics,Brand_C,EU,638.9853613529344,7,Yes,Yes,Smartphones
2025-05-01 07:28:16.174928,SKU_2,Electronics,Brand_B,APAC,1859.47,19,Yes,No,Smartphones
2025-05-01 07:28:16.175180,SKU_19,Electronics,Brand_A,EU,1409.96,14,Yes,No,Laptops
2025-05-01 07:28:16.175416,SKU_10,Electronics,Brand_A,EU,534.4897999516685,3,No,No,Smartphones
2025-05-01 07:28:16.175623,SKU_15,Furniture,Brand_D,APAC,1458.03,23,Yes,No,Tables
2025-05-01 07:28:16.175846,SKU_10,Electronics,Brand_D,APAC,1508.94,17,No,No,Cameras
2025-05-01 07:28:16.176049,SKU_10,Electronics,Brand_C,NA,1529.83,16,Yes,No,Smartphones
2025-05-01 07:28:16.176320,SKU_12,Electronics,Brand_D,NA,1423.21,14,No,No,Smartphones
2025-05-02 07:28:16.171790,SKU_8,Electronics,Brand_C,EU,1825.75,18,No,No,Laptops
2025-05-02 07:28:16.172033,SKU_14,Furniture,Brand_C,EU,1795.59,15,No,No,Chairs
2025-05-02 07:28:16.172288,SKU_2,Electronics,Brand_D,EU,1826.27,16,No,No,Smartphones
2025-05-02 07:28:16.172627,SKU_17,Electronics,Brand_C,APAC,1204.0,17,No,Yes,Smartphones
2025-05-02 07:28:16.172849,SKU_6,Furniture,Brand_B,NA,1717.39,29,Yes,No,Chairs
2025-05-02 07:28:16.173095,SKU_8,Furniture,Brand_C,EU,1981.73,22,Yes,No,Sofas
2025-05-02 07:28:16.173341,SKU_1,Electronics,Brand_A,NA,1835.82,15,No,Yes,Laptops
2025-05-02 07:28:16.173548,SKU_3,Furniture,Brand_A,NA,1345.9,12,No,No,Chairs
2025-05-02 07:28:16.173750,SKU_15,Electronics,Brand_A,APAC,1400.46,18,Yes,Yes,Cameras
2025-05-02 07:28:16.173961,SKU_17,Electronics,Brand_D,APAC,1029.06,16,No,No,Smartphones
2025-05-02 07:28:16.174295,SKU_7,Electronics,Brand_A,EU,1885.77,25,No,Yes,Cameras
2025-05-02 07:28:16.174521,SKU_14,Electronics,Brand_D,EU,1207.0,19,No,Yes,Cameras
2025-05-02 07:28:16.174734,SKU_3,Furniture,Brand_A,EU,1356.25,10,No,Yes,Chairs
2025-05-02 07:28:16.174927,SKU_18,Furniture,Brand_C,EU,1667.67,20,Yes,Yes,Sofas
2025-05-02 07:28:16.175177,SKU_5,Furniture,Brand_D,EU,1543.35,16,No,Yes,Chairs
2025-05-02 07:28:16.175414,SKU_20,Furniture,Brand_A,NA,1609.35,19,No,No,Sofas
2025-05-02 07:28:16.175621,SKU_15,Electronics,Brand_C,NA,1327.11,18,No,No,Cameras
2025-05-02 07:28:16.175844,SKU_6,Furniture,Brand_D,APAC,1122.38,16,No,No,Tables
2025-05-02 07:28:16.176045,SKU_3,Furniture,Brand_C,APAC,1564.84,22,No,Yes,Chairs
2025-05-02 07:28:16.176318,SKU_18,Electronics,Brand_C,NA,1235.87,15,Yes,Yes,Cameras
2025-05-03 07:28:16.171788,SKU_20,Electronics,Brand_C,APAC,1656.13,14,No,Yes,Cameras
2025-05-03 07:28:16.172029,SKU_3,Furniture,Brand_D,APAC,1232.51,12,No,No,Tables
2025-05-03 07:28:16.172286,SKU_8,Electronics,Brand_D,EU,1455.16,19,Yes,No,Cameras
2025-05-03 07:28:16.172625,SKU_19,Electronics,Brand_B,APAC,2014.79,18,Yes,No,Laptops
2025-05-03 07:28:16.172847,SKU_18,Electronics,Brand_B,APAC,1565.5,18,No,Yes,Laptops
2025-05-03 07:28:16.173092,SKU_15,Furniture,Brand_B,APAC,1260.03,20,Yes,No,Tables
2025-05-03 07:28:16.173339,SKU_14,Furniture,Brand_B,NA,1649.73,12,No,No,Sofas
2025-05-03 07:28:16.173546,SKU_16,Furniture,Brand_D,NA,1457.45,18,No,No,Sofas
2025-05-03 07:28:16.173747,SKU_3,Electronics,Brand_B,EU,1263.41,18,Yes,Yes,Laptops
2025-05-03 07:28:16.173959,SKU_15,Furniture,Brand_A,APAC,1507.3,26,No,Yes,Sofas
2025-05-03 07:28:16.174294,SKU_19,Electronics,Brand_B,NA,1872.05,12,No,No,Laptops
2025-05-03 07:28:16.174519,SKU_8,Furniture,Brand_A,EU,1681.2,24,No,Yes,Sofas
2025-05-03 07:28:16.174732,SKU_2,Electronics,Brand_A,APAC,1445.4,21,Yes,No,Smartphones
2025-05-03 07:28:16.174925,SKU_17,Electronics,Brand_C,EU,1136.16,20,No,Yes,Cameras
2025-05-03 07:28:16.175173,SKU_12,Furniture,Brand_C,EU,1720.3,13,No,Yes,Sofas
2025-05-03 07:28:16.175412,SKU_19,Furniture,Brand_C,APAC,1643.39,17,Yes,Yes,Sofas
2025-05-03 07:28:16.175619,SKU_11,Furniture,Brand_B,NA,1012.07,16,No,Yes,Chairs
2025-05-03 07:28:16.175842,SKU_18,Furniture,Brand_D,APAC,1055.55,21,No,No,Tables
2025-05-03 07:28:16.176042,SKU_13,Electronics,Brand_A,APAC,1971.82,19,No,Yes,Cameras
2025-05-03 07:28:16.176316,SKU_14,Furniture,Brand_D,APAC,1596.02,20,No,Yes,Sofas
2025-05-04 07:28:16.171787,SKU_12,Electronics,Brand_D,NA,1082.3,20,Yes,No,Smartphones
2025-05-04 07:28:16.172026,SKU_15,Electronics,Brand_B,APAC,1841.06,15,No,Yes,Laptops
2025-05-04 07:28:16.172284,SKU_8,Furniture,Brand_D,NA,1864.96,11,No,Yes,Sofas
2025-05-04 07:28:16.172623,SKU_2,Electronics,Brand_D,EU,1287.06,19,No,Yes,Cameras
2025-05-04 07:28:16.172845,SKU_8,Furniture,Brand_C,NA,1223.21,18,No,Yes,Tables
2025-05-04 07:28:16.173088,SKU_5,Furniture,Brand_C,EU,1523.85,20,No,No,Chairs
2025-05-04 07:28:16.173337,SKU_2,Furniture,Brand_A,EU,1548.03,12,Yes,Yes,Sofas
2025-05-04 07:28:16.173544,SKU_10,Electronics,Brand_A,APAC,1452.54,15,No,No,Laptops
2025-05-04 07:28:16.173744,SKU_10,Furniture,Brand_C,NA,1178.23,17,No,No,Sofas
